USN 2020;;;;DSA 2020;;;;NVD 2020;;;;;
 CVE-2020-24394;Priority: Medium;Description: In the Linux kernel before 5.7.8, fs/nfsd/vfs.c (in the NFS server) can setincorrect permissions on new filesystem objects when the filesystem lacksACL support, aka CID-22cf8419f131. This occurs because the current umask isnot considered.Ubuntu-DescriptionIt was discovered that the NFS server implementation in the Linux kerneldid not properly honor umask settings when setting permissions whilecreating file system objects if the underlying file system did not supportACLs. An attacker could possibly use this to expose sensitive informationor violate system integrity.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-24394; CVE-2020-24394;Priority: low;Description:In the Linux kernel before 5.7.8, fs/nfsd/vfs.c (in the NFS server) can set incorrect permissions on new filesystem objects when the filesystem lacks ACL support, aka CID-22cf8419f131. This occurs because the current umask is not considered.;Link: https://security-tracker.debian.org/tracker/CVE-2020-24394; CVE-2020-24394;CVSS 2.0: 3.6 LOW;CVSS 3.x: 7.1 HIGH;Published_date: 08/19/2020;Description: In the Linux kernel before 5.7.8, fs/nfsd/vfs.c (in the NFS server) can set incorrect permissions on new filesystem objects when the filesystem lacks ACL support, aka CID-22cf8419f131. This occurs because the current umask is not considered.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-24394
 CVE-2020-6447;Priority: Medium;Description: Inappropriate implementation in developer tools in Google Chrome prior to81.0.4044.92 allowed a remote attacker who had convinced the user to usedevtools to potentially exploit heap corruption via a crafted HTML page.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-6447; CVE-2020-6447;Priority: medium;Description:Inappropriate implementation in developer tools in Google Chrome prior to 81.0.4044.92 allowed a remote attacker who had convinced the user to use devtools to potentially exploit heap corruption via a crafted HTML page.;Link: https://security-tracker.debian.org/tracker/CVE-2020-6447; CVE-2020-6447;CVSS 2.0: 6.8 MEDIUM;CVSS 3.x: 8.8 HIGH;Published_date: 04/13/2020;Description: Inappropriate implementation in developer tools in Google Chrome prior to 81.0.4044.92 allowed a remote attacker who had convinced the user to use devtools to potentially exploit heap corruption via a crafted HTML page.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-6447
 CVE-2020-6446;Priority: Medium;Description: Insufficient policy enforcement in trusted types in Google Chrome prior to81.0.4044.92 allowed a remote attacker to bypass content security policyvia a crafted HTML page.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-6446; CVE-2020-6446;Priority: medium;Description:Insufficient policy enforcement in trusted types in Google Chrome prior to 81.0.4044.92 allowed a remote attacker to bypass content security policy via a crafted HTML page.;Link: https://security-tracker.debian.org/tracker/CVE-2020-6446; CVE-2020-6446;CVSS 2.0: 4.3 MEDIUM;CVSS 3.x: 6.5 MEDIUM;Published_date: 04/13/2020;Description: Insufficient policy enforcement in trusted types in Google Chrome prior to 81.0.4044.92 allowed a remote attacker to bypass content security policy via a crafted HTML page.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-6446
 CVE-2020-6443;Priority: Medium;Description: Insufficient data validation in developer tools in Google Chrome prior to81.0.4044.92 allowed a remote attacker who had convinced the user to usedevtools to execute arbitrary code via a crafted HTML page.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-6443; CVE-2020-6443;Priority: medium;Description:Insufficient data validation in developer tools in Google Chrome prior to 81.0.4044.92 allowed a remote attacker who had convinced the user to use devtools to execute arbitrary code via a crafted HTML page.;Link: https://security-tracker.debian.org/tracker/CVE-2020-6443; CVE-2020-6443;CVSS 2.0: 6.8 MEDIUM;CVSS 3.x: 8.8 HIGH;Published_date: 04/13/2020;Description: Insufficient data validation in developer tools in Google Chrome prior to 81.0.4044.92 allowed a remote attacker who had convinced the user to use devtools to execute arbitrary code via a crafted HTML page.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-6443
 CVE-2020-6442;Priority: Medium;Description: Inappropriate implementation in cache in Google Chrome prior to81.0.4044.92 allowed a remote attacker to leak cross-origin data via acrafted HTML page.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-6442; CVE-2020-6442;Priority: medium;Description:Inappropriate implementation in cache in Google Chrome prior to 81.0.4044.92 allowed a remote attacker to leak cross-origin data via a crafted HTML page.;Link: https://security-tracker.debian.org/tracker/CVE-2020-6442; CVE-2020-6442;CVSS 2.0: 4.3 MEDIUM;CVSS 3.x: 4.3 MEDIUM;Published_date: 04/13/2020;Description: Inappropriate implementation in cache in Google Chrome prior to 81.0.4044.92 allowed a remote attacker to leak cross-origin data via a crafted HTML page.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-6442
 CVE-2020-35653;Priority: Medium;Description: In Pillow before 8.1.0, PcxDecode has a buffer over-read when decoding acrafted PCX file because the user-supplied stride value is trusted forbuffer calculations.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-35653; CVE-2020-35653;Priority: medium;Description:In Pillow before 8.1.0, PcxDecode has a buffer over-read when decoding a crafted PCX file because the user-supplied stride value is trusted for buffer calculations.;Link: https://security-tracker.debian.org/tracker/CVE-2020-35653; CVE-2020-35653;CVSS 2.0: 5.8 MEDIUM;CVSS 3.x: 7.1 HIGH;Published_date: 01/12/2021;Description: In Pillow before 8.1.0, PcxDecode has a buffer over-read when decoding a crafted PCX file because the user-supplied stride value is trusted for buffer calculations.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-35653
 CVE-2020-35652;Priority: Medium;Description: An issue was discovered in res_pjsip_diversion.c in Sangoma Asterisk before13.38.0, 14.x through 16.x before 16.15.0, 17.x before 17.9.0, and 18.xbefore 18.1.0. A crash can occur when a SIP message is received with aHistory-Info header that contains a tel-uri, or when a SIP 181 response isreceived that contains a tel-uri in the Diversion header.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-35652; CVE-2020-35652;Priority: N/A;Description:An issue was discovered in res_pjsip_diversion.c in Sangoma Asterisk before 13.38.0, 14.x through 16.x before 16.15.0, 17.x before 17.9.0, and 18.x before 18.1.0. A crash can occur when a SIP message is received with a History-Info header that contains a tel-uri, or when a SIP 181 response is received that contains a tel-uri in the Diversion header.;Link: https://security-tracker.debian.org/tracker/CVE-2020-35652; CVE-2020-35652;CVSS 2.0: 4.0 MEDIUM;CVSS 3.x: 6.5 MEDIUM;Published_date: 01/29/2021;Description: An issue was discovered in res_pjsip_diversion.c in Sangoma Asterisk before 13.38.0, 14.x through 16.x before 16.15.0, 17.x before 17.9.0, and 18.x before 18.1.0. A crash can occur when a SIP message is received with a History-Info header that contains a tel-uri, or when a SIP 181 response is received that contains a tel-uri in the Diversion header.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-35652
 CVE-2020-35655;Priority: Medium;Description: In Pillow before 8.1.0, SGIRleDecode has a 4-byte buffer over-read whendecoding crafted SGI RLE image files because offsets and length tables aremishandled.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-35655; CVE-2020-35655;Priority: medium;Description:In Pillow before 8.1.0, SGIRleDecode has a 4-byte buffer over-read when decoding crafted SGI RLE image files because offsets and length tables are mishandled.;Link: https://security-tracker.debian.org/tracker/CVE-2020-35655; CVE-2020-35655;CVSS 2.0: 5.8 MEDIUM;CVSS 3.x: 5.4 MEDIUM;Published_date: 01/12/2021;Description: In Pillow before 8.1.0, SGIRleDecode has a 4-byte buffer over-read when decoding crafted SGI RLE image files because offsets and length tables are mishandled.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-35655
 CVE-2020-35654;Priority: Medium;Description: In Pillow before 8.1.0, TiffDecode has a heap-based buffer overflow whendecoding crafted YCbCr files because of certain interpretation conflictswith LibTIFF in RGBA mode.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-35654; CVE-2020-35654;Priority: medium;Description:In Pillow before 8.1.0, TiffDecode has a heap-based buffer overflow when decoding crafted YCbCr files because of certain interpretation conflicts with LibTIFF in RGBA mode.;Link: https://security-tracker.debian.org/tracker/CVE-2020-35654; CVE-2020-35654;CVSS 2.0: 6.8 MEDIUM;CVSS 3.x: 8.8 HIGH;Published_date: 01/12/2021;Description: In Pillow before 8.1.0, TiffDecode has a heap-based buffer overflow when decoding crafted YCbCr files because of certain interpretation conflicts with LibTIFF in RGBA mode.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-35654
 CVE-2020-8112;Priority: Medium;Description: opj_t1_clbl_decode_processor in openjp2/t1.c in OpenJPEG 2.3.1 through2020-01-28 has a heap-based buffer overflow in the qmfbid==1 case, adifferent issue than CVE-2020-6851.Ubuntu-DescriptionIt was discovered that OpenJPEG did not properly handle certain input. IfOpenJPEG were supplied with specially crafted input, it could be made to crashor possibly execute arbitrary code.;Link: https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-8112; CVE-2020-8112;Priority: medium;Description:opj_t1_clbl_decode_processor in openjp2/t1.c in OpenJPEG 2.3.1 through 2020-01-28 has a heap-based buffer overflow in the qmfbid==1 case, a different issue than CVE-2020-6851.;Link: https://security-tracker.debian.org/tracker/CVE-2020-8112; CVE-2020-8112;CVSS 2.0: 6.8 MEDIUM;CVSS 3.x: 8.8 HIGH;Published_date: 01/28/2020;Description: opj_t1_clbl_decode_processor in openjp2/t1.c in OpenJPEG 2.3.1 through 2020-01-28 has a heap-based buffer overflow in the qmfbid==1 case, a different issue than CVE-2020-6851.;Link: https://nvd.nist.gov/vuln/detail/CVE-2020-8112
